[Name],,,,,
Series 1 at /LINE:Line 1,,,,,
,,,,,
[Data],,,,,
Y [ m ],Velocity [ m s^-1 ],,Analytical,Error,
0.00E+00,1.79E-04,,2.00E-04,#DIV/0!,
2.02E-03,1.79E-04,,,,
4.04E-03,1.79E-04,,,,
6.06E-03,1.79E-04,,,,
8.08E-03,1.78E-04,,,,
1.01E-02,1.78E-04,,,,
1.21E-02,1.78E-04,,,,
1.41E-02,1.78E-04,,,,
1.62E-02,1.78E-04,,,,
1.82E-02,1.78E-04,,,,
2.02E-02,1.78E-04,,,,
2.22E-02,1.77E-04,,,,
2.42E-02,1.77E-04,,,,
2.63E-02,1.77E-04,,,,
2.83E-02,1.77E-04,,,,
3.03E-02,1.76E-04,,,,
3.23E-02,1.76E-04,,,,
3.43E-02,1.76E-04,,,,
3.64E-02,1.76E-04,,,,
3.84E-02,1.75E-04,,,,
4.04E-02,1.75E-04,,,,
4.24E-02,1.74E-04,,,,
4.44E-02,1.73E-04,,,,
4.65E-02,1.72E-04,,,,
4.85E-02,1.72E-04,,,,
5.05E-02,1.71E-04,,,,
5.25E-02,1.70E-04,,,,
5.45E-02,1.69E-04,,,,
5.66E-02,1.68E-04,,,,
5.86E-02,1.67E-04,,,,
6.06E-02,1.67E-04,,,,
6.26E-02,1.66E-04,,,,
6.46E-02,1.65E-04,,,,
6.67E-02,1.64E-04,,,,
6.87E-02,1.63E-04,,,,
7.07E-02,1.62E-04,,,,
7.27E-02,1.61E-04,,,,
7.47E-02,1.60E-04,,,,
7.68E-02,1.58E-04,,,,
7.88E-02,1.57E-04,,,,
8.08E-02,1.56E-04,,,,
8.28E-02,1.54E-04,,,,
8.48E-02,1.53E-04,,,,
8.69E-02,1.51E-04,,,,
8.89E-02,1.50E-04,,,,
9.09E-02,1.48E-04,,,,
9.29E-02,1.47E-04,,,,
9.49E-02,1.45E-04,,,,
9.70E-02,1.44E-04,,,,
9.90E-02,1.42E-04,,,,
1.01E-01,1.41E-04,,,,
1.03E-01,1.39E-04,,,,
1.05E-01,1.38E-04,,,,
1.07E-01,1.36E-04,,,,
1.09E-01,1.35E-04,,,,
1.11E-01,1.32E-04,,,,
1.13E-01,1.29E-04,,,,
1.15E-01,1.27E-04,,,,
1.17E-01,1.24E-04,,,,
1.19E-01,1.21E-04,,,,
1.21E-01,1.18E-04,,,,
1.23E-01,1.15E-04,,,,
1.25E-01,1.12E-04,,,,
1.27E-01,1.09E-04,,,,
1.29E-01,1.07E-04,,,,
1.31E-01,1.04E-04,,,,
1.33E-01,1.01E-04,,,,
1.35E-01,9.79E-05,,,,
1.37E-01,9.51E-05,,,,
1.39E-01,9.22E-05,,,,
1.41E-01,8.94E-05,,,,
1.43E-01,8.65E-05,,,,
1.45E-01,8.35E-05,,,,
1.47E-01,8.04E-05,,,,
1.49E-01,7.74E-05,,,,
1.52E-01,7.43E-05,,,,
1.54E-01,7.12E-05,,,,
1.56E-01,6.81E-05,,,,
1.58E-01,6.50E-05,,,,
1.60E-01,6.19E-05,,,,
1.62E-01,5.88E-05,,,,
1.64E-01,5.57E-05,,,,
1.66E-01,5.26E-05,,,,
1.68E-01,4.95E-05,,,,
1.70E-01,4.64E-05,,,,
1.72E-01,4.33E-05,,,,
1.74E-01,4.02E-05,,,,
1.76E-01,3.71E-05,,,,
1.78E-01,3.40E-05,,,,
1.80E-01,3.09E-05,,,,
1.82E-01,2.78E-05,,,,
1.84E-01,2.48E-05,,,,
1.86E-01,2.17E-05,,,,
1.88E-01,1.86E-05,,,,
1.90E-01,1.55E-05,,,,
1.92E-01,1.24E-05,,,,
1.94E-01,9.28E-06,,,,
1.96E-01,6.19E-06,,,,
1.98E-01,3.09E-06,,,,
2.00E-01,0.00E+00,,,,
